Komputronik,ram,RAM,HyperX Fury Black 16GB [2x8GB 2666MHz DDR4 CL16 XMP 1.2V DIMM],369,HX426C16FB3K2/16,2021-01-16 21:25:04,
Komputronik,ram,RAM,HyperX Fury Black 64GB [2x32GB 3200MHz DDR4 CL16 XMP 1.35V DIMM],1459,HX432C16FB3K2/64,2021-01-16 21:25:04,
Komputronik,ram,RAM,HyperX Fury Black 32GB [2x16GB 2666MHz DDR4 CL16 XMP 1.2V DIMM],619,HX426C16FB4K2/32,2021-01-16 21:25:04,
Komputronik,ram,RAM,HyperX Fury Black 16GB [1x16GB 2400MHz DDR4 CL15 XMP 1.2V DIMM],329,HX424C15FB4/16,2021-01-16 21:25:04,
Komputronik,ram,RAM,HyperX Fury Black 32GB [2x16GB 2400MHz DDR4 CL15 XMP 1.2V DIMM],669,HX424C15FB4K2/32,2021-01-16 21:25:04,
Komputronik,ram,RAM,HyperX Fury RGB 16GB [1x16GB 3600MHz DDR4 CL18 DIMM],399,HX436C18FB4A/16,2021-01-16 21:25:04,
Komputronik,ram,RAM,HyperX Fury RGB 16GB [1x16GB 2400MHz DDR4 CL15 DIMM],329,HX424C15FB4A/16,2021-01-16 21:25:04,
Komputronik,ram,RAM,HyperX Fury Black 8GB [1x8GB 2666MHz DDR4 CL16 XMP 12.V DIMM],199,HX426C16FB3/8,2021-01-16 21:25:04,
Komputronik,ram,RAM,HyperX Impact 8GB [1x8GB 2400MHz DDR4 CL14 SODIMM],169,HX424S14IB2/8,2021-01-16 21:25:04,
Komputronik,ram,RAM,HyperX Fury Black 16GB [1x16GB 2666MHz DDR4 CL16 XMP 1.2V DIMM],339,HX426C16FB4/16,2021-01-16 21:25:04,
Komputronik,ram,RAM,HyperX Impact 8GB [1x8GB 1600MHz DDR3L CL9 1.35V SODIMM],199,HX316LS9IB/8,2021-01-16 21:25:04,
Komputronik,ram,RAM,HyperX Fury Blue 8GB [1x8GB 1600MHz DDR3 CL10 DIMM],219,HX316C10F/8,2021-01-16 21:25:04,
Komputronik,ram,RAM,HyperX Impact 16GB [1x16GB 2666MHz DDR4 CL16 SODIMM],339,HX426S16IB2/16,2021-01-16 21:25:04,
Komputronik,ram,RAM,HyperX Impact 16GB [1x16GB 2400MHz DDR4 CL14 SODIMM],309,HX424S14IB/16,2021-01-16 21:25:04,
Komputronik,ram,RAM,HyperX Predator RGB 8GB [1x8GB 3200MHz DDR4 CL16 XMP DIMM],279,HX432C16PB3A/8,2021-01-16 21:25:04,
Komputronik,ram,RAM,{{::product.name}},,{{product.code_foreign}},2021-01-16 21:25:04,
Morele,rtx 3080,Graphics Cards,Karta graficzna Asus TUF GeForce RTX 3080 Gaming 10GB GDDR6X (TUF-RTX3080-10G-GAMING),4999,TUF-RTX3080-10G-GAMING,2021-01-16 21:25:04,
Morele,rtx 3080,Graphics Cards,Karta graficzna Gigabyte GeForce RTX 3080 Eagle OC 10GB GDDR6X (GV-N3080EAGLE OC-10GD),4799,GV-N3080EAGLE OC-10GD,2021-01-16 21:25:04,
Morele,rtx 3080,Graphics Cards,Karta graficzna MSI GeForce RTX 3080 Ventus OC 3X 10GB GDDR6X (RTX 3080 VENTUS 3X 10G OC),4999,RTX 3080 VENTUS 3X 10G OC,2021-01-16 21:25:04,
Morele,rtx 3080,Graphics Cards,Karta graficzna MSI GeForce RTX 3080 Gaming X Trio 10GB GDDR6X (RTX 3080 GAMING X TRIO 10G),4669,RTX 3080 GAMING X TRIO 10G,2021-01-16 21:25:04,
Morele,rtx 3080,Graphics Cards,Karta graficzna Gigabyte GeForce RTX 3080 Gaming OC 10GB GDDR6X (GV-N3080GAMING OC-10GD),4979,GV-N3080GAMING OC-10GD,2021-01-16 21:25:04,
Morele,rtx 3080,Graphics Cards,Karta graficzna Gigabyte GeForce RTX 3080 Vision OC 10GB GDDR6X (GV-N3080VISION OC-10GD),5189,GV-N3080VISION OC-10GD,2021-01-16 21:25:04,
Morele,rtx 3080,Graphics Cards,Karta graficzna Gainward GeForce RTX 3080 Phoenix 10GB GDDR6X (471056224-1952),4959,471056224-1952,2021-01-16 21:25:04,
Morele,rtx 3080,Graphics Cards,Karta graficzna Palit GeForce RTX 3080 GamingPro 10GB GDDR6X (NED3080019IA-132AA),4989,NED3080019IA-132AA,2021-01-16 21:25:04,
Morele,rtx 3080,Graphics Cards,Karta graficzna Palit GeForce RTX 3080 GamingPro OC 10GB GDDR6X (NED3080S19IA-132AA),5079,NED3080S19IA-132AA,2021-01-16 21:25:04,
Morele,rtx 3080,Graphics Cards,Karta graficzna Gainward GeForce RTX 3080 Phoenix GS 10GB GDDR6X (471056224-2010),5089,471056224-2010,2021-01-16 21:25:04,
Morele,rtx 3080,Graphics Cards,"Komputer Hiro 303, Ryzen 9 5900X, 32 GB, RTX 3080, 1 TB M.2 PCIe Windows 10 Home",14422,ZKG-R9B5503080-H333,2021-01-16 21:25:04,
Morele,rtx 3080,Graphics Cards,"Komputer Hiro 303, Ryzen 7 5800X, 16 GB, RTX 3080, 500 GB M.2 PCIe Windows 10 Home",11290,ZKG-R7B5503080-H330,2021-01-16 21:25:04,
Morele,rtx 3080,Graphics Cards,"Komputer Hiro 303, Ryzen 7 3700X, 16 GB, RTX 3080, 512 GB M.2 PCIe Windows 10 Home",10811,ZKG-R7X5703080-H319,2021-01-16 21:25:04,
Morele,rtx 3080,Graphics Cards,"Komputer Hiro 303, Ryzen 5 5600X, 16 GB, RTX 3080, 500 GB M.2 PCIe Windows 10 Home",10394,ZKG-R5B5503080-H326,2021-01-16 21:25:04,
Morele,rtx 3080,Graphics Cards,"Komputer Hiro 303, Core i9-10900K, 16 GB, RTX 3080, 512 GB M.2 PCIe Windows 10 Home",11704,ZKG-I9Z4903080-H318,2021-01-16 21:25:04,
Morele,rtx 3080,Graphics Cards,"Komputer Hiro 303, Ryzen 9 3900X, 16 GB, RTX 3080, 512 GB M.2 PCIe Windows 10 Home",11707,ZKG-R9X5703080-H320,2021-01-16 21:25:04,
Morele,rtx 3080,Graphics Cards,"Komputer Hiro 303, Core i7-10700KA, 16 GB, RTX 3080, 512 GB M.2 PCIe Windows 10 Home",11107,ZKG-I7Z4903080-H317,2021-01-16 21:25:04,
Morele,rtx 3080,Graphics Cards,Karta graficzna Gigabyte Aorus GeForce RTX 3080 Xtreme Waterforce WB 10GB GDDR6X (GV-N3080AORUSX-WB-10GD),5889,GV-N3080AORUSX-WB-10GD,2021-01-16 21:25:04,
Morele,rtx 3080,Graphics Cards,"Komputer Game X G700, Ryzen 7 3700X, 64 GB, RTX 3080, 1 TB M.2 PCIe 4 TB HDD Windows 10 Pro",21369,Tak,2021-01-16 21:25:04,
Morele,rtx 3080,Graphics Cards,"Komputer Game X G700, Ryzen 7 3700X, 32 GB, RTX 3080, 1 TB M.2 PCIe 2 TB SSD 4 TB HDD Windows 10 Pro",22149,Tak,2021-01-16 21:25:04,
Morele,rtx 3080,Graphics Cards,"Komputer Game X G700, Ryzen 7 3700X, 64 GB, RTX 3080, 1 TB M.2 PCIe 4 TB HDD Windows 10 Home",21019,Tak,2021-01-16 21:25:04,
Morele,rtx 3080,Graphics Cards,"Komputer Game X G700, Ryzen 7 3700X, 32 GB, RTX 3080, 1 TB M.2 PCIe 2 TB HDD",17399,Tak,2021-01-16 21:25:04,
Morele,rtx 3080,Graphics Cards,"Komputer Game X G700, Ryzen 7 3700X, 16 GB, RTX 3080, 1 TB M.2 PCIe 1 TB SSD 1 TB HDD",17399,Tak,2021-01-16 21:25:04,
Morele,rtx 3080,Graphics Cards,"Komputer Game X G700, Ryzen 7 3700X, 32 GB, RTX 3080, 1 TB M.2 PCIe 1 TB SSD 1 TB HDD Windows 10 Home",19129,Tak,2021-01-16 21:25:04,
Morele,rtx 3080,Graphics Cards,"Komputer Game X G700, Ryzen 7 3700X, 32 GB, RTX 3080, 1 TB M.2 PCIe 1 TB HDD Windows 10 Pro",18439,Tak,2021-01-16 21:25:04,
